Entry	Protein names	Length	Helix	Beta strand	Interacts with
O43865	S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	530	HELIX 113..124; /evidence="ECO:0007829|PDB:3MTG"; HELIX 128..137; /evidence="ECO:0007829|PDB:3MTG"; HELIX 156..167; /evidence="ECO:0007829|PDB:3MTG"; HELIX 184..193; /evidence="ECO:0007829|PDB:3MTG"; HELIX 205..216; /evidence="ECO:0007829|PDB:3MTG"; HELIX 232..240; /evidence="ECO:0007829|PDB:3MTG"; HELIX 242..245; /evidence="ECO:0007829|PDB:3MTG"; HELIX 256..265; /evidence="ECO:0007829|PDB:3MTG"; HELIX 282..293; /evidence="ECO:0007829|PDB:3MTG"; HELIX 299..305; /evidence="ECO:0007829|PDB:3MTG"; HELIX 321..333; /evidence="ECO:0007829|PDB:3MTG"; HELIX 344..352; /evidence="ECO:0007829|PDB:3MTG"; HELIX 360..362; /evidence="ECO:0007829|PDB:3MTG"; HELIX 382..387; /evidence="ECO:0007829|PDB:3MTG"; HELIX 406..409; /evidence="ECO:0007829|PDB:3MTG"; HELIX 438..440; /evidence="ECO:0007829|PDB:3MTG"; HELIX 444..446; /evidence="ECO:0007829|PDB:3MTG"; HELIX 452..471; /evidence="ECO:0007829|PDB:3MTG"; HELIX 486..496; /evidence="ECO:0007829|PDB:3MTG"; HELIX 497..500; /evidence="ECO:0007829|PDB:3MTG"; HELIX 509..514; /evidence="ECO:0007829|PDB:3MTG"	STRAND 147..152; /evidence="ECO:0007829|PDB:3MTG"; STRAND 171..175; /evidence="ECO:0007829|PDB:3MTG"; STRAND 177..180; /evidence="ECO:0007829|PDB:3MTG"; STRAND 196..198; /evidence="ECO:0007829|PDB:3MTG"; STRAND 224..231; /evidence="ECO:0007829|PDB:3MTG"; STRAND 249..253; /evidence="ECO:0007829|PDB:3MTG"; STRAND 275..277; /evidence="ECO:0007829|PDB:3MTG"; STRAND 313..317; /evidence="ECO:0007829|PDB:3MTG"; STRAND 336..340; /evidence="ECO:0007829|PDB:3MTG"; STRAND 368..372; /evidence="ECO:0007829|PDB:3MTG"; STRAND 392..396; /evidence="ECO:0007829|PDB:3MTG"; STRAND 415..420; /evidence="ECO:0007829|PDB:3MTG"; STRAND 423..427; /evidence="ECO:0007829|PDB:3MTG"; STRAND 433..437; /evidence="ECO:0007829|PDB:3MTG"; STRAND 479..482; /evidence="ECO:0007829|PDB:3MTG"; STRAND 519..521; /evidence="ECO:0007829|PDB:3MTG"	O43865; Q9HD36; P55957; P55957-2; P42773; P13569; Q9UI36-2; P55040; P09105; Q96MH2; P17066; Q14643; Q8TAC2; Q5S007; P43356; P50222; Q8NCR3; Q8N323; Q8N2W9; O94827-4; O14829; O60437; Q9NQX0; O00233; A0A0S2Z4G9; Q9UHI7; Q9UHI7-3; Q02978; O94993; P48775; Q9BZF9; P49910; Q53Z40; P04608
O43866	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	347	HELIX 169..178; /evidence="ECO:0007829|PDB:8WYR"; HELIX 194..196; /evidence="ECO:0007829|PDB:8WYR"; HELIX 275..285; /evidence="ECO:0007829|PDB:8WYR"; HELIX 296..300; /evidence="ECO:0007829|PDB:8WYR"; HELIX 337..339; /evidence="ECO:0007829|PDB:8WYR"	STRAND 140..155; /evidence="ECO:0007829|PDB:8WYR"; STRAND 158..161; /evidence="ECO:0007829|PDB:8WYR"; STRAND 186..188; /evidence="ECO:0007829|PDB:8WYR"; STRAND 212..214; /evidence="ECO:0007829|PDB:8WYR"; STRAND 235..237; /evidence="ECO:0007829|PDB:8WYR"; STRAND 243..251; /evidence="ECO:0007829|PDB:8WYR"; STRAND 254..269; /evidence="ECO:0007829|PDB:8WYR"; STRAND 308..312; /evidence="ECO:0007829|PDB:8WYR"; STRAND 320..322; /evidence="ECO:0007829|PDB:8WYR"; STRAND 342..344; /evidence="ECO:0007829|PDB:8WYR"	
O43868	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)	658			
O43897	Tolloid-like protein 1 (EC 3.4.24.-)	1013	HELIX 153..155; /evidence="ECO:0007829|PDB:3EDI"; HELIX 158..160; /evidence="ECO:0007829|PDB:3EDI"; HELIX 172..188; /evidence="ECO:0007829|PDB:3EDI"; HELIX 235..246; /evidence="ECO:0007829|PDB:3EDI"; HELIX 251..253; /evidence="ECO:0007829|PDB:3EDI"; HELIX 257..259; /evidence="ECO:0007829|PDB:3EDI"; HELIX 265..267; /evidence="ECO:0007829|PDB:3EDI"; HELIX 273..276; /evidence="ECO:0007829|PDB:3EDI"; HELIX 281..283; /evidence="ECO:0007829|PDB:3EDI"; HELIX 334..343; /evidence="ECO:0007829|PDB:3EDI"	STRAND 161..166; /evidence="ECO:0007829|PDB:3EDI"; STRAND 192..195; /evidence="ECO:0007829|PDB:3EDI"; STRAND 203..206; /evidence="ECO:0007829|PDB:3EDI"; STRAND 224..227; /evidence="ECO:0007829|PDB:3EDI"; STRAND 261..263; /evidence="ECO:0007829|PDB:3EDI"; STRAND 305..307; /evidence="ECO:0007829|PDB:3EDI"; STRAND 312..315; /evidence="ECO:0007829|PDB:3EDI"	
O43903	Growth arrest-specific protein 2 (GAS-2)	313			Q8IYX1
O43913	Origin recognition complex subunit 5	435	HELIX 13..22; /evidence="ECO:0007829|PDB:7JPO"; HELIX 43..53; /evidence="ECO:0007829|PDB:7JPO"; HELIX 69..84; /evidence="ECO:0007829|PDB:7JPO"; HELIX 99..110; /evidence="ECO:0007829|PDB:7JPO"; HELIX 127..129; /evidence="ECO:0007829|PDB:7JPO"; HELIX 137..142; /evidence="ECO:0007829|PDB:7JPO"; HELIX 144..148; /evidence="ECO:0007829|PDB:7JPO"; HELIX 162..164; /evidence="ECO:0007829|PDB:7JPO"; HELIX 184..191; /evidence="ECO:0007829|PDB:7JPO"; HELIX 201..215; /evidence="ECO:0007829|PDB:7JPO"; HELIX 222..236; /evidence="ECO:0007829|PDB:7JPO"; HELIX 238..242; /evidence="ECO:0007829|PDB:7JPO"; HELIX 250..267; /evidence="ECO:0007829|PDB:7JPO"; HELIX 275..283; /evidence="ECO:0007829|PDB:7JPO"; HELIX 304..317; /evidence="ECO:0007829|PDB:7JPO"; HELIX 321..323; /evidence="ECO:0007829|PDB:7JPO"; HELIX 324..327; /evidence="ECO:0007829|PDB:7JPO"; HELIX 359..369; /evidence="ECO:0007829|PDB:7JPO"; HELIX 378..389; /evidence="ECO:0007829|PDB:7JPO"; HELIX 413..422; /evidence="ECO:0007829|PDB:7JPO"; HELIX 428..431; /evidence="ECO:0007829|PDB:7JPO"	STRAND 24..27; /evidence="ECO:0007829|PDB:7JPO"; STRAND 31..36; /evidence="ECO:0007829|PDB:7JPO"; STRAND 39..42; /evidence="ECO:0007829|PDB:7JPO"; STRAND 58..62; /evidence="ECO:0007829|PDB:7JPO"; STRAND 115..118; /evidence="ECO:0007829|PDB:7JPO"; STRAND 120..126; /evidence="ECO:0007829|PDB:7JPO"; STRAND 152..160; /evidence="ECO:0007829|PDB:7JPO"; STRAND 175..178; /evidence="ECO:0007829|PDB:7JPO"; STRAND 243..245; /evidence="ECO:0007829|PDB:7JPO"; STRAND 294..296; /evidence="ECO:0007829|PDB:7JPO"; STRAND 370..372; /evidence="ECO:0007829|PDB:7JPO"; STRAND 392..395; /evidence="ECO:0007829|PDB:7JPO"; STRAND 401..403; /evidence="ECO:0007829|PDB:7JPO"; STRAND 407..409; /evidence="ECO:0007829|PDB:7JPO"	Q13415; Q13416; Q9UBD5; O43929
O43914	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	113	HELIX 40..65; /evidence="ECO:0007829|PDB:4WOL"		Q14953; O95944; O00241; Q969S0; Q8N2M4; Q9NZC2; O43914
O60235	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	418			O43765
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SMARCA5) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	1052	HELIX 182..196; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 211..224; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 238..240; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 241..251; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 264..273; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 287..292; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 294..298; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 310..313; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 319..326; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 344..354; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 382..388; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 389..391; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 397..401; /evidence="ECO:0007829|PDB:9E1L"; HELIX 418..429; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 449..458; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 460..462; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 483..497; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 509..522; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 535..545; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 583..591; /evidence="ECO:0007829|PDB:9E1Q"; HELIX 613..631; /evidence="ECO:0007829|PDB:9E1Q"	STRAND 173..175; /evidence="ECO:0007829|PDB:9E1R"; STRAND 201..204; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 225..227; /evidence="ECO:0007829|PDB:9E1L"; STRAND 232..236; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 253..255; /evidence="ECO:0007829|PDB:9E1X"; STRAND 257..259; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 281..286; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 302..309; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 315..317; /evidence="ECO:0007829|PDB:9E1U"; STRAND 329..335; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 341..343; /evidence="ECO:0007829|PDB:9E1U"; STRAND 392..394; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 402..404; /evidence="ECO:0007829|PDB:9E1R"; STRAND 408..414; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 463..467; /evidence="ECO:0007829|PDB:9E1U"; STRAND 469..471; /evidence="ECO:0007829|PDB:9E1O"; STRAND 502..507; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 526..529; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 531..533; /evidence="ECO:0007829|PDB:9E1L"; STRAND 547..549; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 554..558; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 562..564; /evidence="ECO:0007829|PDB:9E1X"; STRAND 573..578; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 593..595; /evidence="ECO:0007829|PDB:9E1Q"; STRAND 603..612; /evidence="ECO:0007829|PDB:9E1Q"	Q9NRL2; Q9UIG0; Q12830; P62805; Q96T23
O60266	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	1144			
O60281	Zinc finger protein 292	2723	HELIX 2128..2138; /evidence="ECO:0007829|PDB:1X3C"	STRAND 2105..2108; /evidence="ECO:0007829|PDB:1X3C"; STRAND 2139..2141; /evidence="ECO:0007829|PDB:1X3C"	
O60284	Suppression of tumorigenicity 18 protein (Zinc finger protein 387)	1047	HELIX 841..847; /evidence="ECO:0007829|PDB:2CS8"; HELIX 894..899; /evidence="ECO:0007829|PDB:2CS8"	STRAND 823..825; /evidence="ECO:0007829|PDB:2CS8"; STRAND 827..830; /evidence="ECO:0007829|PDB:2CS8"; STRAND 835..837; /evidence="ECO:0007829|PDB:2CS8"	
O60307	Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)	1309	HELIX 185..197; /evidence="ECO:0007829|PDB:1V9V"; HELIX 209..230; /evidence="ECO:0007829|PDB:1V9V"; HELIX 236..255; /evidence="ECO:0007829|PDB:1V9V"; HELIX 259..276; /evidence="ECO:0007829|PDB:1V9V"; HELIX 991..995; /evidence="ECO:0007829|PDB:3KHF"; HELIX 1016..1025; /evidence="ECO:0007829|PDB:3KHF"	STRAND 951..954; /evidence="ECO:0007829|PDB:3KHF"; STRAND 962..975; /evidence="ECO:0007829|PDB:3KHF"; STRAND 977..986; /evidence="ECO:0007829|PDB:3KHF"; STRAND 1002..1006; /evidence="ECO:0007829|PDB:3KHF"; STRAND 1028..1035; /evidence="ECO:0007829|PDB:3KHF"	P60484
O60315	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	1214	HELIX 654..665; /evidence="ECO:0007829|PDB:2DA7"; HELIX 671..681; /evidence="ECO:0007829|PDB:2DA7"; HELIX 685..700; /evidence="ECO:0007829|PDB:2DA7"		Q96KQ7; Q13330; O94776
O60381	HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1)	514	HELIX 234..240; /evidence="ECO:0007829|PDB:3QVE"; HELIX 287..289; /evidence="ECO:0007829|PDB:3QVE"; HELIX 314..321; /evidence="ECO:0007829|PDB:3QVE"; HELIX 440..447; /evidence="ECO:0007829|PDB:2E6O"; HELIX 449..455; /evidence="ECO:0007829|PDB:2E6O"; HELIX 461..474; /evidence="ECO:0007829|PDB:2E6O"; HELIX 477..497; /evidence="ECO:0007829|PDB:2E6O"	STRAND 220..227; /evidence="ECO:0007829|PDB:3QVE"; STRAND 262..272; /evidence="ECO:0007829|PDB:3QVE"; STRAND 275..283; /evidence="ECO:0007829|PDB:3QVE"; STRAND 292..297; /evidence="ECO:0007829|PDB:3QVE"; STRAND 301..304; /evidence="ECO:0007829|PDB:3QVE"; STRAND 308..313; /evidence="ECO:0007829|PDB:3QVE"	P06400
O60393	Homeobox protein NOBOX	691			
O60449	Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205)	1722	HELIX 71..73; /evidence="ECO:0007829|PDB:8K8H"; HELIX 118..120; /evidence="ECO:0007829|PDB:8K8H"; HELIX 200..203; /evidence="ECO:0007829|PDB:8K8H"; HELIX 224..226; /evidence="ECO:0007829|PDB:8K8H"; HELIX 240..249; /evidence="ECO:0007829|PDB:8K8H"; HELIX 260..268; /evidence="ECO:0007829|PDB:8K8H"; HELIX 382..390; /evidence="ECO:0007829|PDB:8K8H"; HELIX 402..410; /evidence="ECO:0007829|PDB:8K8H"; HELIX 412..416; /evidence="ECO:0007829|PDB:7JPT"; HELIX 535..548; /evidence="ECO:0007829|PDB:8K8H"; HELIX 671..680; /evidence="ECO:0007829|PDB:7JPT"; HELIX 691..701; /evidence="ECO:0007829|PDB:7JPT"; HELIX 720..722; /evidence="ECO:0007829|PDB:7JPT"; HELIX 797..799; /evidence="ECO:0007829|PDB:7JPT"; HELIX 805..812; /evidence="ECO:0007829|PDB:7JPT"; HELIX 833..840; /evidence="ECO:0007829|PDB:7JPT"; HELIX 853..866; /evidence="ECO:0007829|PDB:7JPT"; HELIX 973..982; /evidence="ECO:0007829|PDB:7JPT"; HELIX 993..1002; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1003..1005; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1124..1133; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1144..1157; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1269..1280; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1293..1303; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1319..1321; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1366..1368; /evidence="ECO:0007829|PDB:7JPT"; HELIX 1370..1374; /evidence="ECO:0007829|PDB:7JPT"	STRAND 36..40; /evidence="ECO:0007829|PDB:8K8H"; STRAND 46..50; /evidence="ECO:0007829|PDB:8K8H"; STRAND 53..57; /evidence="ECO:0007829|PDB:8K8H"; STRAND 61..63; /evidence="ECO:0007829|PDB:8K8H"; STRAND 66..70; /evidence="ECO:0007829|PDB:8K8H"; STRAND 74..77; /evidence="ECO:0007829|PDB:8K8H"; STRAND 82..87; /evidence="ECO:0007829|PDB:8K8H"; STRAND 94..98; /evidence="ECO:0007829|PDB:8K8H"; STRAND 100..102; /evidence="ECO:0007829|PDB:7JPT"; STRAND 103..105; /evidence="ECO:0007829|PDB:8K8H"; STRAND 109..111; /evidence="ECO:0007829|PDB:8K8H"; STRAND 114..116; /evidence="ECO:0007829|PDB:8K8H"; STRAND 122..133; /evidence="ECO:0007829|PDB:8K8H"; STRAND 140..145; /evidence="ECO:0007829|PDB:8K8H"; STRAND 159..161; /evidence="ECO:0007829|PDB:8K8H"; STRAND 171..175; /evidence="ECO:0007829|PDB:8K8H"; STRAND 178..182; /evidence="ECO:0007829|PDB:8K8H"; STRAND 189..191; /evidence="ECO:0007829|PDB:8K8H"; STRAND 193..195; /evidence="ECO:0007829|PDB:8K8H"; STRAND 206..209; /evidence="ECO:0007829|PDB:8K8H"; STRAND 214..217; /evidence="ECO:0007829|PDB:7JPT"; STRAND 220..222; /evidence="ECO:0007829|PDB:7JPT"; STRAND 228..238; /evidence="ECO:0007829|PDB:8K8H"; STRAND 270..272; /evidence="ECO:0007829|PDB:8K8H"; STRAND 274..288; /evidence="ECO:0007829|PDB:8K8H"; STRAND 292..294; /evidence="ECO:0007829|PDB:7JPT"; STRAND 310..313; /evidence="ECO:0007829|PDB:7JPT"; STRAND 317..321; /evidence="ECO:0007829|PDB:8K8H"; STRAND 327..330; /evidence="ECO:0007829|PDB:8K8H"; STRAND 336..343; /evidence="ECO:0007829|PDB:8K8H"; STRAND 365..368; /evidence="ECO:0007829|PDB:8K8H"; STRAND 371..380; /evidence="ECO:0007829|PDB:8K8H"; STRAND 394..396; /evidence="ECO:0007829|PDB:8K8H"; STRAND 421..427; /evidence="ECO:0007829|PDB:8K8H"; STRAND 429..433; /evidence="ECO:0007829|PDB:8K8H"; STRAND 435..438; /evidence="ECO:0007829|PDB:7JPT"; STRAND 461..466; /evidence="ECO:0007829|PDB:8K8H"; STRAND 471..475; /evidence="ECO:0007829|PDB:8K8H"; STRAND 481..488; /evidence="ECO:0007829|PDB:8K8H"; STRAND 507..510; /evidence="ECO:0007829|PDB:8K8H"; STRAND 513..522; /evidence="ECO:0007829|PDB:8K8H"; STRAND 550..553; /evidence="ECO:0007829|PDB:7JPT"; STRAND 555..561; /evidence="ECO:0007829|PDB:8K8H"; STRAND 563..567; /evidence="ECO:0007829|PDB:8K8H"; STRAND 574..576; /evidence="ECO:0007829|PDB:7JPT"; STRAND 593..595; /evidence="ECO:0007829|PDB:8K8H"; STRAND 597..603; /evidence="ECO:0007829|PDB:8K8H"; STRAND 609..612; /evidence="ECO:0007829|PDB:8K8H"; STRAND 619..625; /evidence="ECO:0007829|PDB:8K8H"; STRAND 629..632; /evidence="ECO:0007829|PDB:7JPT"; STRAND 644..646; /evidence="ECO:0007829|PDB:7JPT"; STRAND 653..660; /evidence="ECO:0007829|PDB:7JPT"; STRAND 711..716; /evidence="ECO:0007829|PDB:7JPT"; STRAND 752..755; /evidence="ECO:0007829|PDB:7JPT"; STRAND 769..772; /evidence="ECO:0007829|PDB:7JPT"; STRAND 780..788; /evidence="ECO:0007829|PDB:7JPT"; STRAND 793..796; /evidence="ECO:0007829|PDB:7JPT"; STRAND 823..831; /evidence="ECO:0007829|PDB:7JPT"; STRAND 842..847; /evidence="ECO:0007829|PDB:7JPT"; STRAND 872..874; /evidence="ECO:0007829|PDB:7JPT"; STRAND 907..911; /evidence="ECO:0007829|PDB:7JPT"; STRAND 926..932; /evidence="ECO:0007829|PDB:7JPT"; STRAND 945..948; /evidence="ECO:0007829|PDB:7JPT"; STRAND 956..958; /evidence="ECO:0007829|PDB:7JPT"; STRAND 961..964; /evidence="ECO:0007829|PDB:7JPT"; STRAND 970..972; /evidence="ECO:0007829|PDB:7JPT"; STRAND 983..987; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1008..1010; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1015..1020; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1058..1064; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1075..1078; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1082..1085; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1089..1091; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1108..1110; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1113..1118; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1164..1167; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1169..1172; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1174..1176; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1187..1189; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1195..1200; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1206..1209; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1211..1213; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1218..1222; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1281..1283; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1310..1313; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1324..1328; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1336..1339; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1348..1352; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1358..1362; /evidence="ECO:0007829|PDB:7JPT"; STRAND 1376..1379; /evidence="ECO:0007829|PDB:7JPT"	Q969F0
O60469	Cell adhesion molecule DSCAM (CHD2) (Down syndrome cell adhesion molecule)	2012			Q15700; Q8WWB5; Q13046; Q00887; P28827; O14522
O60481	Zinc finger protein ZIC 3 (Zinc finger protein 203) (Zinc finger protein of the cerebellum 3)	467	HELIX 275..284; /evidence="ECO:0007829|PDB:2EJ4"; HELIX 312..323; /evidence="ECO:0007829|PDB:2EJ4"; HELIX 342..349; /evidence="ECO:0007829|PDB:2RPC"; HELIX 372..377; /evidence="ECO:0007829|PDB:2RPC"	STRAND 261..264; /evidence="ECO:0007829|PDB:2EJ4"; STRAND 272..274; /evidence="ECO:0007829|PDB:2RPC"; STRAND 327..329; /evidence="ECO:0007829|PDB:2RPC"; STRAND 338..340; /evidence="ECO:0007829|PDB:2RPC"; STRAND 369..371; /evidence="ECO:0007829|PDB:2RPC"	
O60502	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT)	916	HELIX 75..87; /evidence="ECO:0007829|PDB:5UN8"; HELIX 101..103; /evidence="ECO:0007829|PDB:5UN8"; HELIX 113..128; /evidence="ECO:0007829|PDB:5UN8"; HELIX 148..162; /evidence="ECO:0007829|PDB:5UN8"; HELIX 182..187; /evidence="ECO:0007829|PDB:5UN8"; HELIX 191..205; /evidence="ECO:0007829|PDB:5UN8"; HELIX 221..223; /evidence="ECO:0007829|PDB:5UN8"; HELIX 232..240; /evidence="ECO:0007829|PDB:5UN8"; HELIX 261..271; /evidence="ECO:0007829|PDB:5UN8"; HELIX 285..287; /evidence="ECO:0007829|PDB:5UHK"; HELIX 301..306; /evidence="ECO:0007829|PDB:5UN8"; HELIX 318..321; /evidence="ECO:0007829|PDB:5UN8"; HELIX 322..332; /evidence="ECO:0007829|PDB:5UN8"; HELIX 376..388; /evidence="ECO:0007829|PDB:5UN8"; HELIX 555..564; /evidence="ECO:0007829|PDB:5UN8"; HELIX 573..587; /evidence="ECO:0007829|PDB:5UN8"; HELIX 589..591; /evidence="ECO:0007829|PDB:5UN8"; HELIX 605..628; /evidence="ECO:0007829|PDB:5UN8"; HELIX 634..661; /evidence="ECO:0007829|PDB:5UN8"; HELIX 684..692; /evidence="ECO:0007829|PDB:5UN8"	STRAND 61..66; /evidence="ECO:0007829|PDB:5UN8"; STRAND 69..71; /evidence="ECO:0007829|PDB:5UN8"; STRAND 92..95; /evidence="ECO:0007829|PDB:5UN8"; STRAND 132..137; /evidence="ECO:0007829|PDB:5UN8"; STRAND 168..172; /evidence="ECO:0007829|PDB:5UN8"; STRAND 188..190; /evidence="ECO:0007829|PDB:5VVU"; STRAND 212..215; /evidence="ECO:0007829|PDB:5UN8"; STRAND 224..226; /evidence="ECO:0007829|PDB:5UN8"; STRAND 245..249; /evidence="ECO:0007829|PDB:5UN8"; STRAND 252..255; /evidence="ECO:0007829|PDB:5UN8"; STRAND 276..279; /evidence="ECO:0007829|PDB:5UN8"; STRAND 308..312; /evidence="ECO:0007829|PDB:5UN8"; STRAND 542..544; /evidence="ECO:0007829|PDB:5M7T"	O60502
O60519	cAMP-responsive element-binding protein-like 2	120			Q8IUR6; P35638; Q16236; Q96KN3; Q7KZS0
O60548	Forkhead box protein D2 (Forkhead-related protein FKHL17) (Forkhead-related transcription factor 9) (FREAC-9)	495			Q03989; A2RRN7; A8MQ03; O75593; Q3LI76; Q3LHN2; Q3SYF9; Q3LI59; Q9BYR7; Q3LI66; Q3LI67; Q8IUC2; Q9Y5V3; A8MTQ0; Q16633; Q96LM6; Q08117-2
